Surface No.	r	d	nd	νd	rad
1	25.396	5.80	1.65160	58.5	17
2	108.471	0.20	1.00027717	89.3	16
3	16.442	4.40	1.90043	37.4	13
4	31.474	0.38	1.00027717	89.3	12
5	34.907	1.20	1.85478	24.8	12
6	11.628	5.78	1.00027717	89.3	10
7	∞	6.01	1.00027717	89.3	10
8	-16.511	2.72	1.95375	32.3	9
9	-13.235	0.43	1.00027717	89.3	9.5
10	-12.498	1.23	1.74077	27.6	9.5
11	-22.656	5.00	1.00027717	89.3	10.5
12	98.455	6.02	1.73350	51.8	18
13	-48.653	17.89	1.00027717	89.3	18
14	∞	1.40	1.55900	60.0	23
15	∞	0.60	1.00027717	89.3	23
